	//  xxxx	xeee	xeee	eeex	eeee	exee	eexe	eeee	eeee	eeex
	//  eeee	xeee	exee	eeex	eeee	exee	eexe	xxxx	eeee	eexe
	//  eeee	xeee	eexe	eeex	eeee	exee	eexe	eeee	xxxx	exee
	//  eeee	xeee	eeex	eeex	xxxx	exee	eexe	eeee	eeee	xeee

	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee

	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
	//  eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee	eeee
